,user,location,verified,followers,content,polarity
1065,DerangedRadio,"27.098506,-80.150956",FALSE,"3,807",Flume and Toro Y Moi Share New Song “The Difference”: Listen https://t.co/qTP8n1pNJp https://t.co/GrX2j0mwhL,0.136363636
701,madisoncsherlin,"Jonesboro, AR",FALSE,"3,786","@clmooree this just brought me BACK
flume on the farm ab to be A1",
563,jogdenUK,"Manchester, UK",FALSE,"3,757","Toro y Moi + Flume. Such a great collab track!

https://t.co/dNgepxk2x6",0.4
71,tcyradio,,FALSE,"3,726",#nowplaying Flume - The Difference feat. Toro Y Moi https://t.co/G8vNMdJGHk #blockfm #tcyradio,
666,sniffersmag,New Zealand,FALSE,"3,646",".@flumemusic pairs up with @ToroyMoi for dream drum n bass collab, ‘The Difference’ https://t.co/vPEIROGYQ6 https://t.co/ecM8uy6p4v",-0.15
198,audiomackedm,NYC,FALSE,"3,583",".@flumemusic  &amp; @ToroyMoi - ""The Difference""

streaming now on @audiomack

Listen: https://t.co/ETnZgchjVX 🔶 https://t.co/cJpf0SOIdZ",
822,blakk_sensei,Gaia 士,FALSE,"3,536",LETS GO!!! New Toro featuring Flume🙏🏾🙏🏾🙏🏾🙏🏾 https://t.co/FHGzplGto4,0.136363636
630,Yenilynnn,Vegas ,FALSE,"3,509",i fucking LOVE flume omg,0.5
214,roaringblood,"New Orleans, LA",FALSE,"3,498",Watching first person perspective videos of riding a log flume to raise awareness,0.25
667,fordlikethecar,"Panama City Beach, FL",FALSE,"3,424","@MaansnijderJan @illysses I stumbled on this video, only vaguely knowing about the Flume remix. This really worked… https://t.co/YSBD3kJuel",-0.1
1057,RedstoneLiquors,"Stoneham, MA",FALSE,"3,416",Fresh Battery Steele Flume NE DIPA canned 3/9 https://t.co/SrdCtysSM5,0.3
1135,TheWomanfredi, North West. UK. ,FALSE,"3,385",Utter chaos in Aldi. Loads of boxes &amp; trolleys abandoned in the aisles. Empty shelves. Stuff you could easily get l… https://t.co/FDeiXcPvrG,0.111111111
746,SoundflowNL,,FALSE,"3,385",Flume en Toro y Moi werken samen op 'The Difference'. https://t.co/DmPjXLoSp7,
1051,GayJalltheway,"Huntsville, AL",FALSE,"3,360","New music from #BUKU2020’s own Flume and Toro y moi!

Catch flume closing out The Port on March 20th at… https://t.co/EhfVmqEQI3",0.245454545
