Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,72,921863,"['contemporary country', 'country', 'country dawn']",71,2020-03-04,2020-03-18,10,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
Grew Up On That,High Valley,44,89698,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",54,2020-03-13,2020-03-18,5,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
In My Veins,Lauren Alaina,61,344482,"['contemporary country', 'country', 'country dawn', 'country road']",72,2020-03-06,2020-03-18,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Hometown,Logan Mize,49,52944,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",57,2020-03-13,2020-03-18,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Ain't Lookin' Back,Mo Pitney,32,18821,[],39,2020-03-13,2020-03-18,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
One Margarita,Luke Bryan,60,5086654,"['contemporary country', 'country', 'country road']",78,2020-03-13,2020-03-18,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Just Let Go,Gord Bamford,46,36409,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",47,2020-03-06,2020-03-18,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Slow Down,Gone West,49,13865,"['contemporary country', 'country pop']",49,2020-03-03,2020-03-18,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,44,7168,['country pop'],49,2020-03-06,2020-03-18,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
I Need Love,Blanco Brown,38,87290,['country rap'],67,2020-03-13,2020-03-18,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Half a Mind to Go Crazy,Tyler Booth,33,3132,[],40,2020-03-13,2020-03-18,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Pawn Shop,Brandy Clark,46,35806,"['contemporary country', 'country pop']",48,2020-03-06,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
What Are You Gonna Tell Her?,Mickey Guyton,51,25332,"['contemporary country', 'country pop']",47,2020-03-06,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Moose Knuckle Shuffle,Hot Country Knights,45,3198,[],46,2020-03-06,2020-03-18,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Empty Glass,Holly Tucker,31,1543,['deep talent show'],32,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Something About You,Seth Alley,42,1880,['country pop'],40,2020-03-06,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mad Love,Alyssa Micaela,33,5088,['country pop'],27,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Real Talk,Angie K,43,3584,[],44,2020-03-06,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Decatur County Red (feat. Jonathan Singleton),Jessi Alexander,25,1527,['country dawn'],36,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Freestylin',Stereosaga!!!,41,181,[],29,2020-03-06,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Unhappy Hour,Steven Lee Olsen,21,8989,"['canadian contemporary country', 'canadian country']",38,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Here I Am,Renee Blair,41,2294,"['contemporary country', 'country pop']",33,2020-03-06,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
It's About Time,Craig Campbell,42,222523,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",52,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Light On,Kaylee Bell,31,4998,"['australian country', 'contemporary country', 'country pop']",41,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Get My Shit Together,Summer Overstreet,22,120,[],33,2020-03-13,2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Run Away,Presley Phillips,28,439,[],26,2020-03-04,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hot Mess,Nice Horse,26,1392,['alberta country'],18,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Easy to Leave,Roots and Recognition,1,2,[],0,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cool,Rachel Reinert,27,581,[],24,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7:17,17 Memphis,20,3126,['country pop'],33,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bad Woman,Ruthie Collins,27,5032,['country pop'],27,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drinking Games,Sophia Scott,28,7989,"['contemporary country', 'country pop']",42,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Talkin' About Last Night,Steven Lee Olsen,33,8989,"['canadian contemporary country', 'canadian country']",38,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Family Pain,Swamp Dogg,34,15370,"['soul', 'southern soul']",47,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Catch a Buzz,Taylor Ray Holbrook,40,92603,"['contemporary country', 'redneck']",59,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Goodbye,The Bros. Landreth,31,15684,"['canadian folk', 'deep new americana']",40,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I Got This,The McClymonts,40,20579,"['australian country', 'australian pop', 'country dawn']",39,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
On the Day I Die,The Shires,31,52697,"['british country', 'uk americana']",52,2020-03-10,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Night Patty Murphy Died,Tim Hicks,23,26971,"['canadian contemporary country', 'canadian country']",50,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kill the Bottle,Tom O'Connor,31,1946,[],31,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Year to Be Young 1994,Stephen Wilson Jr.,15,141,[],7,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Safe Place to Break,Josh David,2,30,[],11,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Like That,Matthew McSwain,29,352,[],22,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Then There's You,David James,27,1917,"['canadian contemporary country', 'canadian country', 'manitoba country']",37,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
You Are Not Alone,Adam Brand,42,28046,"['australian country', 'australian pop', 'classic australian country']",46,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparrow,Ashley McBryde,44,59140,"['arkansas country', 'contemporary country', 'country pop']",57,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Long Walk,Brandy Clark,40,35806,"['contemporary country', 'country pop']",48,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Heavy,Brittany Moore,27,216,[],23,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Do You Remember,Bryce Sainty,37,128,[],30,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
We Ain't Leaving,Buddy Brown,31,56736,"['contemporary country', 'country pop', 'country rap', 'country road', 'modern country rock', 'redneck']",50,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fly Away,Caitlyn Smith,35,23801,"['contemporary country', 'country pop']",53,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I Can't,Caitlyn Smith,35,23801,"['contemporary country', 'country pop']",53,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sanctuary - Live,Charles Esten,20,17835,['country pop'],45,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
If I Were You,David James,37,1917,"['canadian contemporary country', 'canadian country', 'manitoba country']",37,2020-03-06,2020-03-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Bit of That,Matt Gatewood,25,206,[],13,2020-03-06,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hey Baby,Dylan Wheeler,40,2948,['red dirt'],41,2020-03-04,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Heartbreak Anytime,Five Roses,22,265,['canadian contemporary country'],19,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
All Dogs Go to Heaven,Gabe Lee,20,1314,['roots americana'],32,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Even If,Holloway Road,15,996,"['british country', 'uk americana']",26,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ride It Out,Jaden Hamilton,44,2204,[],33,2020-03-06,2020-03-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If You Ain't Happy Now (You Never Will Be),Jesse Daniel,17,1869,['roots americana'],29,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fly,Adam Brand,22,28046,"['australian country', 'australian pop', 'classic australian country']",46,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Two of You,LJ,13,478,[],35,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Twinkle Twinkle,Margo Price,45,72607,"['indie folk', 'new americana', 'outlaw country', 'roots americana']",46,2020-03-11,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Our Song,Willie Nelson,46,1062192,"['classic country pop', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",72,2020-03-13,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
