Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,72,922591,"['contemporary country', 'country', 'country dawn']",71,2020-03-04,2020-03-19,10,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
Hometown,Logan Mize,50,52999,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",57,2020-03-13,2020-03-19,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
In My Veins,Lauren Alaina,61,344733,"['contemporary country', 'country', 'country dawn', 'country road']",72,2020-03-06,2020-03-19,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Grew Up On That,High Valley,46,89773,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",54,2020-03-13,2020-03-19,5,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
Half a Mind to Go Crazy,Tyler Booth,36,3143,[],40,2020-03-13,2020-03-19,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ain't Lookin' Back,Mo Pitney,33,18827,[],39,2020-03-13,2020-03-19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
One Margarita,Luke Bryan,61,5089979,"['contemporary country', 'country', 'country road']",78,2020-03-13,2020-03-19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
I Need Love,Blanco Brown,40,87436,['country rap'],67,2020-03-13,2020-03-19,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Slow Down,Gone West,49,13888,"['contemporary country', 'country pop']",50,2020-03-03,2020-03-19,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,45,7168,['country pop'],49,2020-03-06,2020-03-19,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Just Let Go,Gord Bamford,46,36429,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",47,2020-03-06,2020-03-19,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Light On,Kaylee Bell,33,5003,"['australian country', 'contemporary country', 'country pop']",41,2020-03-13,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Something About You,Seth Alley,42,1883,['country pop'],40,2020-03-06,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Decatur County Red (feat. Jonathan Singleton),Jessi Alexander,27,1530,['country dawn'],36,2020-03-13,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Empty Glass,Holly Tucker,34,1543,['deep talent show'],32,2020-03-13,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Moose Knuckle Shuffle,Hot Country Knights,46,3234,[],46,2020-03-06,2020-03-19,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Here I Am,Renee Blair,41,2308,"['contemporary country', 'country pop']",33,2020-03-06,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Freestylin',Stereosaga!!!,41,183,[],29,2020-03-06,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
What Are You Gonna Tell Her?,Mickey Guyton,51,25348,"['contemporary country', 'country pop']",47,2020-03-06,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Unhappy Hour,Steven Lee Olsen,22,9000,"['canadian contemporary country', 'canadian country']",38,2020-03-13,2020-03-19,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mad Love,Alyssa Micaela,34,5090,['country pop'],28,2020-03-13,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Real Talk,Angie K,44,3592,[],44,2020-03-06,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
It's About Time,Craig Campbell,43,222625,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",52,2020-03-13,2020-03-19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
