Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_9PM,_All_Funked_Up,_Alternative_R_B,_Amplify,_Are___Be,_Arkada_Calsin,_Bedroom_Jams,_Black_Girl_Magic,_Butter,_Chill_Mode_On,_Chilled_R_B,_Fresh_Finds,_Good_Morning_Jazz,_Next_Wave_Neo_Soul,_POLLEN,_R_B_Feels,_R_B_UK,_Ready_for_the_Day,_Retro_Pop,_Silk_Sheets,_Soul_Coffee,_Soul_Lounge,_Soul_n_the_City,_Soultronic,_Spotify___Chill,_Study_Break,_Sweet_Soul_Sunday,_The_Newness,_This_Is_How_We_Do,_Your_Office_Stereo
Waiting For (feat. Jamila Woods),rum.gold,61,6362,"['alternative r&b', 'indie r&b']",51,2020-04-24,2020-05-30,6,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
More Than Enough,Alina Baraz,67,677641,"['alternative r&b', 'electropop', 'etherpop', 'pop']",76,2020-03-26,2020-05-30,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
You're Too Precious,James Blake,69,990132,"['art pop', 'indie r&b', 'indie soul', 'indietronica', 'uk alternative pop']",74,2020-04-24,2020-05-30,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Call Your Name,Tora,57,2768,[],46,2020-05-01,2020-05-30,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
i want war (BUT I NEED PEACE),Kali Uchis,67,937526,"['colombian pop', 'pop']",78,2020-04-24,2020-05-30,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Got My Back,RIMON,57,41539,"['alternative r&b', 'dutch r&b', 'indie r&b']",55,2020-05-14,2020-05-30,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Anyone But Me,Joy Crookes,61,115122,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",60,2020-04-08,2020-05-30,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Paper Thin,Lianne La Havas,64,549666,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",67,2020-05-04,2020-05-30,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Wrong Places (from Songland),H.E.R.,71,2514759,"['pop', 'r&b']",82,2020-04-27,2020-05-30,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Morning,RIMON,50,41539,"['alternative r&b', 'dutch r&b', 'indie r&b']",55,2020-03-19,2020-05-30,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Distance,Yebba,62,101477,[],69,2020-05-08,2020-05-30,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Black Dog,Arlo Parks,65,63767,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b', 'vapor soul']",63,2020-05-04,2020-05-30,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dive,Victoria Monét,61,160901,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'post-teen pop']",65,2020-04-21,2020-05-30,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Temperature Rising,Tory Lanez,77,2950729,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",88,2020-05-15,2020-05-30,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
All I Need (with Mahalia & Ty Dolla $ign),Jacob Collier,67,241922,"['indie soul', 'uk alternative pop']",64,2020-05-14,2020-05-30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Nightrider,Tom Misch,65,662005,['indie soul'],76,2020-04-16,2020-05-30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fair Chance,Thundercat,58,502395,"['afrofuturism', 'indie soul']",71,2020-03-17,2020-05-30,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Everybody Business,Kehlani,66,3513164,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap']",86,2020-04-16,2020-05-30,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
June,Pip Millett,54,45214,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",58,2020-03-13,2020-05-30,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Heavenly Mother,Pip Millett,56,45214,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",58,2020-04-10,2020-05-30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Need You,Emanuel,60,1224,[],47,2020-04-06,2020-05-30,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
F&MU,Kehlani,66,3513164,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap']",86,2020-04-30,2020-05-30,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BRB,Mahalia,62,387644,"['alternative r&b', 'indie anthem-folk', 'indie r&b', 'indie soul', 'pop', 'uk contemporary r&b']",72,2020-05-01,2020-05-30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
Be the One - Remix,Sinead Harnett,57,228494,"['alternative r&b', 'gauze pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",65,2020-03-20,2020-05-30,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Sun Is Up Forever,Joesef,58,11721,"['indie soul', 'uk alternative pop']",53,2020-04-23,2020-05-30,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Frank Ocean,Kaash Paige,57,68517,['deep pop r&b'],70,2020-04-17,2020-05-30,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Comeback (feat. Tory Lanez and 30 Roc),JoJo,61,1580508,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",70,2020-05-01,2020-05-30,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Flipside,Tamera,42,1810,[],35,2020-05-22,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Clutch (feat. Kiana Ledé),Col3trane,60,77360,"['alternative r&b', 'indie r&b', 'indie soul', 'trap soul', 'uk contemporary r&b']",63,2020-05-15,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Do It,Chloe x Halle,72,398750,"['alternative r&b', 'deep pop r&b', 'escape room', 'indie r&b', 'pop', 'pop rap', 'r&b']",64,2020-05-14,2020-05-30,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Introspection,UMI,61,267694,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",70,2020-05-07,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Mother,UMI,63,267694,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",70,2020-04-22,2020-05-30,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3 on E,Vulfpeck,52,514094,"['ann arbor indie', 'funk rock', 'instrumental funk']",66,2020-04-03,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Ginny,Sylo Nozra,58,15062,"['alternative r&b', 'canadian contemporary r&b', 'indie r&b', 'lo-fi chill']",50,2020-03-11,2020-05-30,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change For Me (With Samm Henshaw),Brasstracks,53,64066,['nyc pop'],56,2020-05-13,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
U 2 Luv,Ne-Yo,0,5254577,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",81,2020-05-29,2020-05-30,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Own Your Own,Yazmin Lacey,52,33698,"['alternative r&b', 'indie jazz', 'indie soul', 'neo r&b', 'uk contemporary jazz']",54,2020-03-27,2020-05-30,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADE 4 U,Leven Kali,56,84443,"['alternative r&b', 'indie r&b', 'indie soul']",64,2020-05-01,2020-05-30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
BELIEVE IT,PARTYNEXTDOOR,87,2356855,"['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']",84,2020-03-27,2020-05-30,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
What's Goin' On?,Gemaine,48,13553,['deep pop r&b'],41,2020-05-20,2020-05-30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Out Of My Way,RIMON,56,41539,"['alternative r&b', 'dutch r&b', 'indie r&b']",55,2020-04-16,2020-05-30,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can I (feat. Tory Lanez),Kehlani,77,3513164,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap']",86,2020-05-08,2020-05-30,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Think About You - Notion Mix,Tiana Major9,61,15911,"['alternative r&b', 'indie r&b', 'uk contemporary r&b']",57,2020-04-17,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Dragonball Durag,Thundercat,65,502395,"['afrofuturism', 'indie soul']",71,2020-04-03,2020-05-30,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Not You Too (feat. Chris Brown),Drake,79,46672237,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",100,2020-05-01,2020-05-30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Funny Thing,Thundercat,62,502395,"['afrofuturism', 'indie soul']",71,2020-04-03,2020-05-30,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Dear April (Side A - Acoustic),Frank Ocean,73,5731119,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",86,2020-04-03,2020-05-30,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30,000 FEET",Jeshi,47,3731,['uk alternative hip hop'],45,2020-04-03,2020-05-30,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Borderline,Jordan Rakei,58,197610,"['alternative r&b', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'neo soul', 'soul']",66,2020-03-13,2020-05-30,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Overseas,JVCK JAMES,50,9129,"['alternative r&b', 'indie r&b', 'uk contemporary r&b']",43,2020-04-27,2020-05-30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
blue,Kamal.,55,4029,[],50,2020-05-20,2020-05-30,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Wondering,Becky and the Birds,54,2060,[],44,2020-03-25,2020-05-30,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EmOGs,Salaam Remi,53,14941,['hip hop'],65,2020-04-03,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quarantine Queen,Sinead Harnett,52,228494,"['alternative r&b', 'gauze pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",65,2020-05-22,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Wee Hours,The-Dream,62,774665,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",70,2020-04-17,2020-05-30,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last 100,Tom Misch,64,662005,['indie soul'],76,2020-04-24,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Woman Like Me,Miraa May,50,23522,"['alternative r&b', 'indie r&b', 'uk alternative hip hop', 'uk contemporary r&b']",56,2020-05-04,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Can't Fight,Lianne La Havas,59,549666,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",67,2020-05-18,2020-05-30,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Shoulda (feat. Babyface),Lucky Daye,37,114920,"['alternative r&b', 'deep pop r&b', 'indie r&b']",67,2020-05-27,2020-05-30,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
King's Rant,Masego,64,580856,"['alternative r&b', 'indie soul']",73,2020-03-16,2020-05-30,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Make the Most (feat. H.E.R.),Lonr.,61,9812,[],57,2020-04-03,2020-05-30,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,Mom Tudie,44,791,[],33,2020-05-01,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Plastic Plants,Mahalia,60,387644,"['alternative r&b', 'indie anthem-folk', 'indie r&b', 'indie soul', 'pop', 'uk contemporary r&b']",72,2020-05-01,2020-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Where You Belong,Little Dragon,60,505223,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'escape room', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']",67,2020-03-27,2020-05-30,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
homebody,Kamal.,60,4029,[],50,2020-03-04,2020-05-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Off the Grid (feat. Khalid),Alina Baraz,70,677641,"['alternative r&b', 'electropop', 'etherpop', 'pop']",76,2020-04-23,2020-05-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Closer,Mario,55,1832078,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",71,2020-04-24,2020-05-30,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Us,Miller Blue,50,5283,['uk contemporary r&b'],46,2020-04-10,2020-05-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Holiday,TOBi,47,23068,['canadian hip hop'],53,2020-04-28,2020-05-30,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End of Summer,Alley Coop,35,314,[],24,2020-05-15,2020-05-30,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hit The Spot,Tiana Blake,41,1391,[],44,2020-05-18,2020-05-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
rock n roll,Dijon,59,88874,"['alternative r&b', 'bedroom soul', 'indie r&b', 'vapor soul']",64,2020-05-15,2020-05-30,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flaws and All,Ebenezer,61,13944,"['trap soul', 'uk hip hop']",58,2020-03-06,2020-05-30,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Window,Still Woozy,74,403272,"['bedroom pop', 'indie pop', 'modern rock', 'oakland indie']",74,2020-04-17,2020-05-30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be Mine,Ro James,0,182368,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'r&b', 'urban contemporary']",60,2020-05-29,2020-05-30,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
