Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,75,939383,"['contemporary country', 'country', 'country dawn']",72,2020-03-04,2020-04-10,8,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
I Love My Country,Florida Georgia Line,70,3654150,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",81,2020-03-27,2020-04-10,7,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0
2016,Sam Hunt,70,1772052,"['contemporary country', 'country pop']",78,2020-04-03,2020-04-10,7,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Better Off,Trace Adkins,57,1458798,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",66,2020-03-20,2020-04-10,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Grew Up On That,High Valley,57,91251,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",56,2020-03-13,2020-04-10,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
The Stranger,Ingrid Andress,62,28592,"['contemporary country', 'country pop']",65,2020-03-27,2020-04-10,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
the other girl (with Halsey),Kelsea Ballerini,76,765491,"['contemporary country', 'pop', 'post-teen pop']",77,2020-03-20,2020-04-10,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
One Of Them Girls,Lee Brice,0,1221283,"['contemporary country', 'country', 'country road', 'modern country rock']",72,2020-04-10,2020-04-10,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Hometown,Logan Mize,57,54050,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",59,2020-03-13,2020-04-10,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
I Need Love,Blanco Brown,53,91473,['country rap'],68,2020-03-13,2020-04-10,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
