Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
Cool Again,Kane Brown,75,2551573,"['contemporary country', 'country road']",82,2020-04-23,2020-06-18,7,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
I Called Mama,Tim McGraw,66,3158026,"['contemporary country', 'country', 'country road']",77,2020-05-08,2020-06-18,7,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
I Love My Country,Florida Georgia Line,65,3766084,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2020-03-27,2020-06-18,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
No I in Beer,Brad Paisley,63,1774061,"['contemporary country', 'country', 'country road']",72,2020-04-15,2020-06-18,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Lady,Brett Young,74,546357,['contemporary country'],77,2020-05-01,2020-06-18,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Black Like Me,Mickey Guyton,68,28092,"['contemporary country', 'country pop']",58,2020-06-02,2020-06-18,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Hold You Tonight (with Chris Lane),Gryffin,76,533510,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",80,2020-04-07,2020-06-18,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
More Than My Hometown,Morgan Wallen,79,600475,"['contemporary country', 'country road', 'deep talent show']",83,2020-04-17,2020-06-18,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Six Feet Apart,Luke Combs,77,2967567,['contemporary country'],86,2020-05-01,2020-06-18,5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
One Margarita,Luke Bryan,76,5367907,"['contemporary country', 'country', 'country road']",81,2020-03-13,2020-06-18,5,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
One Of Them Girls,Lee Brice,77,1266625,"['contemporary country', 'country', 'country road', 'modern country rock']",76,2020-04-10,2020-06-18,5,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Be A Light,Thomas Rhett,75,3401128,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-03-30,2020-06-18,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Single Saturday Night,Cole Swindell,65,1328754,"['contemporary country', 'country', 'country road', 'modern country rock']",70,2020-05-22,2020-06-18,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Worldwide Beautiful,Kane Brown,69,2551573,"['contemporary country', 'country road']",82,2020-06-04,2020-06-18,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Almost Maybes,Jordan Davis,70,262906,['contemporary country'],74,2020-05-08,2020-06-18,5,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Every Other Memory,Ryan Hurd,63,84696,"['contemporary country', 'country pop']",65,2020-04-20,2020-06-18,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Build Me A Daddy,Luke Bryan,60,5367907,"['contemporary country', 'country', 'country road']",81,2020-06-12,2020-06-18,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,71,778697,"['contemporary country', 'pop']",77,2020-03-20,2020-06-18,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
I Don't Need To Know,Maddie & Tae,56,547460,"['contemporary country', 'country', 'country pop']",69,2020-04-10,2020-06-18,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
If I Was a Bar,Matt Stell,47,18964,"['arkansas country', 'contemporary country', 'country pop']",65,2020-06-12,2020-06-18,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Summer Time,James Barker Band,51,72546,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",57,2020-06-12,2020-06-18,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Second Guessing - From Songland,Florida Georgia Line,72,3766084,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2020-05-22,2020-06-18,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
The Man Who Loves You The Most,Zac Brown Band,63,2169118,"['contemporary country', 'country', 'country road', 'modern country rock']",78,2020-06-12,2020-06-18,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Everything Falls for You,Seaforth,57,10095,"['contemporary country', 'country pop']",62,2020-05-29,2020-06-18,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Like A Man,Dallas Smith,61,47671,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",59,2020-04-03,2020-06-18,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,72,3401128,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-05-06,2020-06-18,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Me Lately,Filmore,59,23989,"['contemporary country', 'country pop']",61,2020-04-03,2020-06-18,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Song About You,Sam Grow,61,5652,['country pop'],51,2020-04-17,2020-06-18,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Hot Sauce,BRELAND,62,14870,[],65,2020-05-22,2020-06-18,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Rock and Roses,Levi Hummon,45,15708,"['contemporary country', 'country pop']",58,2020-06-12,2020-06-18,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
On Me (feat. Ava Max),Various Artists,78,896593,[],0,2020-05-15,2020-06-18,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,63,2256658,"['bmore', 'edm', 'electropop', 'moombahton', 'ninja', 'pop']",87,2020-05-29,2020-06-18,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
