Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,74,933036,"['contemporary country', 'country', 'country dawn']",72,2020-03-04,2020-04-01,9,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
I Love My Country,Florida Georgia Line,65,3635459,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",81,2020-03-27,2020-04-01,7,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Better Off,Trace Adkins,53,1448738,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",65,2020-03-20,2020-04-01,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,75,761561,"['contemporary country', 'pop', 'post-teen pop']",77,2020-03-20,2020-04-01,6,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Last Time I Say Sorry,Kane Brown,68,2355256,"['contemporary country', 'country road']",79,2020-03-27,2020-04-01,6,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
The Stranger,Ingrid Andress,56,26525,"['contemporary country', 'country pop']",64,2020-03-27,2020-04-01,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Grew Up On That,High Valley,54,90671,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",55,2020-03-13,2020-04-01,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
I Need Love,Blanco Brown,49,89774,['country rap'],67,2020-03-13,2020-04-01,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Hometown,Logan Mize,55,53648,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",58,2020-03-13,2020-04-01,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Good Ol' Girls,Jenee Fleenor,42,205,[],29,2020-03-13,2020-04-01,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Slow Down,Gone West,52,14349,"['contemporary country', 'country pop']",50,2020-03-03,2020-04-01,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
In My Veins,Lauren Alaina,60,348878,"['contemporary country', 'country', 'country dawn', 'country road']",73,2020-03-06,2020-04-01,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Think About You,Alana Springsteen,53,2471,['country pop'],50,2020-03-20,2020-04-01,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
Me on You,Teddy Robb,46,3133,['country pop'],46,2020-03-20,2020-04-01,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Detours,Jordan Davis,54,225042,"['contemporary country', 'country road']",70,2020-03-27,2020-04-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Just Let Go,Gord Bamford,50,36812,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",48,2020-03-06,2020-04-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Whiskey On The Table,Alex Hall,39,791,[],39,2020-03-27,2020-04-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,51,7210,['country pop'],48,2020-03-06,2020-04-01,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Everybody's Got a Story,Chevel Shepherd,43,4393,[],34,2020-03-20,2020-04-01,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
I Love You Now Change,Twinnie,41,2443,['country pop'],36,2020-03-20,2020-04-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Be A Light,Various Artists,31,874142,[],0,2020-03-30,2020-04-01,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Wild World,Kip Moore,56,853907,"['contemporary country', 'country', 'country road', 'modern country rock']",66,2020-03-27,2020-04-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
I'm Still Hangin' On,John Anderson,39,245615,"['country', 'country road', 'country rock']",56,2020-03-20,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
How The Car's Running,Emily Ann Roberts,34,8275,[],32,2020-03-20,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Light On,Kaylee Bell,44,5059,"['australian country', 'country pop']",41,2020-03-13,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ain't Lookin' Back,Mo Pitney,45,18948,[],41,2020-03-13,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Here I Am,Renee Blair,49,2404,"['contemporary country', 'country pop']",37,2020-03-06,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
half of my hometown (feat. Kenny Chesney),Kelsea Ballerini,59,761561,"['contemporary country', 'pop', 'post-teen pop']",77,2020-03-20,2020-04-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
What Are You Gonna Tell Her?,Mickey Guyton,51,25552,"['contemporary country', 'country pop']",47,2020-03-06,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Half a Mind to Go Crazy,Tyler Booth,47,3261,[],42,2020-03-13,2020-04-01,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Finish This Up,Livy Jeanne,32,3512,"['alberta country', 'canadian contemporary country', 'canadian country', 'country pop']",24,2020-03-18,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Something About You,Seth Alley,46,1917,['country pop'],41,2020-03-06,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Planning My Survival,Seth Cook,25,1922,[],24,2020-03-20,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
If I Can't Have You,Sara Evans,42,725410,"['contemporary country', 'country', 'country dawn', 'country gospel', 'country road']",57,2020-03-20,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7:17,17 Memphis,30,3199,['country pop'],33,2020-03-13,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Can't Not,Steven Lee Olsen,35,9113,"['canadian contemporary country', 'canadian country']",39,2020-03-20,2020-04-01,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Before You,Drew Baldridge,42,15603,"['contemporary country', 'country pop']",42,2020-03-26,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mad Love,Alyssa Micaela,40,5136,['country pop'],30,2020-03-13,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Get My Shit Together,Summer Overstreet,36,141,[],35,2020-03-13,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Fly Away,Caitlyn Smith,45,24315,"['contemporary country', 'country pop']",54,2020-03-13,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Going Out Like This,Craig Morgan,44,613864,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",62,2020-03-27,2020-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
