Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
I Love My Country,Florida Georgia Line,74,3693743,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",82,2020-03-27,2020-04-29,8,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Be A Light,Thomas Rhett,74,3345265,"['contemporary country', 'country', 'country road', 'modern country rock']",80,2020-03-30,2020-04-29,6,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Cool Again,Kane Brown,69,2432588,"['contemporary country', 'country road']",81,2020-04-23,2020-04-29,6,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Gaslighter,Dixie Chicks,75,953137,"['contemporary country', 'country', 'country dawn']",73,2020-03-04,2020-04-29,6,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2016,Sam Hunt,74,1789711,"['contemporary country', 'country pop']",80,2020-04-03,2020-04-29,6,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
The Stranger,Ingrid Andress,65,31627,"['contemporary country', 'country pop']",66,2020-03-27,2020-04-29,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
My Truck (feat. Sam Hunt) - Remix,BRELAND,57,9495,[],65,2020-04-24,2020-04-29,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Hold You Tonight (with Chris Lane),Gryffin,75,493675,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",79,2020-04-07,2020-04-29,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
the other girl (with Halsey) [the other mix],Kelsea Ballerini,66,772939,"['contemporary country', 'pop', 'post-teen pop']",78,2020-04-20,2020-04-29,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Better Off,Trace Adkins,60,1481670,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",67,2020-03-20,2020-04-29,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Last Time I Say Sorry,Kane Brown,76,2432588,"['contemporary country', 'country road']",81,2020-03-27,2020-04-29,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Every Other Memory,Ryan Hurd,55,80033,"['contemporary country', 'country pop']",65,2020-04-20,2020-04-29,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Cold Beer Calling My Name,Jameson Rodgers,70,22631,"['contemporary country', 'country pop']",62,2020-04-14,2020-04-29,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Hometown,Logan Mize,59,54907,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",60,2020-03-13,2020-04-29,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Champagne Night - From Songland,Lady Antebellum,65,2919202,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",74,2020-04-13,2020-04-29,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Like A Man,Dallas Smith,58,46486,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",60,2020-04-03,2020-04-29,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Easy Goin,Clay Walker,44,640424,"['contemporary country', 'country', 'country road', 'modern country rock']",61,2020-04-24,2020-04-29,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Where I'm From,The Reklaws,55,20594,"['canadian contemporary country', 'canadian country', 'contemporary country']",57,2020-04-17,2020-04-29,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Close,Jade Eagleson,42,7316,['canadian contemporary country'],48,2020-04-24,2020-04-29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
One Day,Jackson Michelson,54,7269,['country pop'],47,2020-03-06,2020-04-29,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
More Than My Hometown,Morgan Wallen,75,511552,"['contemporary country', 'country road', 'deep talent show']",82,2020-04-17,2020-04-29,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Like A Cowboy,Parker McCollum,63,66178,"['contemporary country', 'texas country']",66,2020-04-10,2020-04-29,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
You Make It Hard,Hot Country Knights,39,4386,[],46,2020-04-24,2020-04-29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Gabrielle,Brett Eldredge,63,1104852,"['adult standards', 'contemporary country', 'country', 'country road', 'modern country rock']",67,2020-04-17,2020-04-29,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grew Up On That,High Valley,60,92596,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",58,2020-03-13,2020-04-29,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Me Lately,Filmore,58,22987,"['contemporary country', 'country pop']",63,2020-04-03,2020-04-29,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Lost,Jordan Brooker,38,1513,['country pop'],39,2020-04-24,2020-04-29,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Kiss Kiss,Madeline Merlo,31,17311,"['canadian contemporary country', 'contemporary country', 'country pop']",40,2020-04-24,2020-04-29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,76,772939,"['contemporary country', 'pop', 'post-teen pop']",78,2020-03-20,2020-04-29,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Polaroid,Keith Urban,59,3681791,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",77,2020-04-24,2020-04-29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
One Of Them Girls,Lee Brice,68,1236984,"['contemporary country', 'country', 'country road', 'modern country rock']",74,2020-04-10,2020-04-29,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Think About You,Alana Springsteen,56,2795,"['contemporary country', 'country pop']",52,2020-03-20,2020-04-29,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Wild World,Kip Moore,64,868010,"['contemporary country', 'country', 'country road', 'modern country rock']",69,2020-03-27,2020-04-29,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Trainwreck,Ashland Craft,39,2328,"['contemporary country', 'country pop']",36,2020-04-24,2020-04-29,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Trash My Heart,Walker Hayes,48,221518,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",63,2020-04-24,2020-04-29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
No I in Beer,Brad Paisley,61,1745406,"['contemporary country', 'country', 'country road']",71,2020-04-15,2020-04-29,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Eat, Drink & Dream",Drake White,47,60107,['contemporary country'],52,2020-04-17,2020-04-29,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
I Love You Now Change,Twinnie,48,2929,['country pop'],43,2020-03-20,2020-04-29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
I Need Love,Blanco Brown,55,94995,['country rap'],71,2020-03-13,2020-04-29,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Round and Round,Troy Cartwright,49,5933,['country pop'],52,2020-04-10,2020-04-29,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Slow Down,Gone West,56,15889,"['contemporary country', 'country pop']",52,2020-03-03,2020-04-29,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hard To Forget,Sam Hunt,72,1789711,"['contemporary country', 'country pop']",80,2020-04-03,2020-04-29,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Do Si Do (feat. Blanco Brown),Diplo,72,2247939,"['bmore', 'edm', 'electropop', 'moombahton', 'ninja', 'pop']",87,2020-04-17,2020-04-29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
So Good,ESSEX COUNTY,50,184,[],36,2020-03-27,2020-04-29,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Going Going Gone,Ryan Griffin,51,6835,"['contemporary country', 'country pop']",47,2020-03-27,2020-04-29,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
In My Veins,Lauren Alaina,59,357531,"['contemporary country', 'country', 'country dawn', 'country road']",74,2020-03-06,2020-04-29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Song I Know,17 Memphis,29,3396,['country pop'],37,2020-04-24,2020-04-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
When I Say Amen,Rachel Wammack,35,5937,"['contemporary country', 'country pop']",39,2020-04-24,2020-04-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
