Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_9PM,_All_Funked_Up,_Alternative_R_B,_Amplify,_Are___Be,_Arkada_Calsin,_Bedroom_Jams,_Black_Girl_Magic,_Butter,_Chill_Mode_On,_Chilled_R_B,_Fresh_Finds,_Good_Morning_Jazz,_Next_Wave_Neo_Soul,_POLLEN,_R_B_Feels,_R_B_UK,_Ready_for_the_Day,_Retro_Pop,_Silk_Sheets,_Soul_Coffee,_Soul_Lounge,_Soul_n_the_City,_Soultronic,_Spotify___Chill,_Study_Break,_Sweet_Soul_Sunday,_The_Newness,_This_Is_How_We_Do,_Your_Office_Stereo
More Than Enough,Alina Baraz,68,663216,"['alternative r&b', 'electropop', 'etherpop', 'pop']",76,2020-03-26,2020-05-12,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fair Chance,Thundercat,61,489734,"['afrofuturism', 'hip hop', 'indie soul']",72,2020-03-17,2020-05-12,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Waiting For (feat. Jamila Woods),rum.gold,57,5467,"['alternative r&b', 'indie r&b']",47,2020-04-24,2020-05-12,5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want war (BUT I NEED PEACE),Kali Uchis,68,911733,"['colombian pop', 'pop']",78,2020-04-24,2020-05-12,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper Thin,Lianne La Havas,58,538917,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",65,2020-05-04,2020-05-12,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Call Your Name,Tora,57,2076,[],46,2020-05-01,2020-05-12,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Anyone But Me,Joy Crookes,61,110974,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",60,2020-04-08,2020-05-12,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
June,Pip Millett,54,42160,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",58,2020-03-13,2020-05-12,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Be the One - Remix,Sinead Harnett,57,222736,"['alternative r&b', 'gauze pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",64,2020-03-20,2020-05-12,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3 on E,Vulfpeck,59,506849,"['ann arbor indie', 'funk rock', 'instrumental funk']",66,2020-04-03,2020-05-12,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
F&MU,Kehlani,73,3429392,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap']",85,2020-04-30,2020-05-12,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
