Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
Cool Again,Kane Brown,74,2521237,"['contemporary country', 'country road']",82,2020-04-23,2020-06-07,7,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Lady,Brett Young,74,538999,['contemporary country'],77,2020-05-01,2020-06-07,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
I Love My Country,Florida Georgia Line,68,3743224,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-03-27,2020-06-07,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
No I in Beer,Brad Paisley,62,1765674,"['contemporary country', 'country', 'country road']",72,2020-04-15,2020-06-07,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
One Of Them Girls,Lee Brice,76,1258004,"['contemporary country', 'country', 'country road', 'modern country rock']",76,2020-04-10,2020-06-07,6,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
I Called Mama,Tim McGraw,63,3142022,"['contemporary country', 'country', 'country road']",77,2020-05-08,2020-06-07,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
More Than My Hometown,Morgan Wallen,79,579369,"['contemporary country', 'country road', 'deep talent show']",83,2020-04-17,2020-06-07,6,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Black Like Me,Mickey Guyton,61,26839,"['contemporary country', 'country pop']",53,2020-06-02,2020-06-07,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Almost Maybes,Jordan Davis,69,256836,['contemporary country'],74,2020-05-08,2020-06-07,5,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Worldwide Beautiful,Kane Brown,58,2521237,"['contemporary country', 'country road']",82,2020-06-04,2020-06-07,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Single Saturday Night,Cole Swindell,62,1320046,"['contemporary country', 'country', 'country road', 'modern country rock']",70,2020-05-22,2020-06-07,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Six Feet Apart,Luke Combs,77,2907236,['contemporary country'],86,2020-05-01,2020-06-07,5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Be A Light,Thomas Rhett,75,3383078,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-03-30,2020-06-07,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,70,3383078,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-05-06,2020-06-07,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Break. Up. Drunk.,Chase Rice,69,766928,"['contemporary country', 'country', 'country road', 'modern country rock']",73,2020-05-15,2020-06-07,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Hold You Tonight (with Chris Lane),Gryffin,76,516676,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",80,2020-04-07,2020-06-07,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Young Love,Austin Burke,34,10515,"['contemporary country', 'country pop']",51,2020-06-05,2020-06-07,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Me Lately,Filmore,59,23708,"['contemporary country', 'country pop']",61,2020-04-03,2020-06-07,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Cold Beer Calling My Name,Jameson Rodgers,68,23728,"['contemporary country', 'country pop']",62,2020-04-14,2020-06-07,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
