Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
Cool Again,Kane Brown,74,2529041,"['contemporary country', 'country road']",82,2020-04-23,2020-06-10,7,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Lady,Brett Young,74,540869,['contemporary country'],77,2020-05-01,2020-06-10,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
I Love My Country,Florida Georgia Line,67,3749072,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-03-27,2020-06-10,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
No I in Beer,Brad Paisley,62,1767798,"['contemporary country', 'country', 'country road']",72,2020-04-15,2020-06-10,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
I Called Mama,Tim McGraw,63,3145907,"['contemporary country', 'country', 'country road']",77,2020-05-08,2020-06-10,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
One Of Them Girls,Lee Brice,77,1260269,"['contemporary country', 'country', 'country road', 'modern country rock']",76,2020-04-10,2020-06-10,6,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
More Than My Hometown,Morgan Wallen,79,584667,"['contemporary country', 'country road', 'deep talent show']",83,2020-04-17,2020-06-10,6,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Black Like Me,Mickey Guyton,65,27320,"['contemporary country', 'country pop']",55,2020-06-02,2020-06-10,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
One Margarita,Luke Bryan,76,5339986,"['contemporary country', 'country', 'country road']",81,2020-03-13,2020-06-10,5,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Almost Maybes,Jordan Davis,69,258393,['contemporary country'],74,2020-05-08,2020-06-10,5,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Worldwide Beautiful,Kane Brown,64,2529041,"['contemporary country', 'country road']",82,2020-06-04,2020-06-10,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Single Saturday Night,Cole Swindell,63,1322123,"['contemporary country', 'country', 'country road', 'modern country rock']",70,2020-05-22,2020-06-10,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Six Feet Apart,Luke Combs,77,2922374,['contemporary country'],86,2020-05-01,2020-06-10,5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Be A Light,Thomas Rhett,75,3387654,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-03-30,2020-06-10,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,71,3387654,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-05-06,2020-06-10,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Break. Up. Drunk.,Chase Rice,69,768258,"['contemporary country', 'country', 'country road', 'modern country rock']",73,2020-05-15,2020-06-10,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Hold You Tonight (with Chris Lane),Gryffin,76,518426,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",80,2020-04-07,2020-06-10,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Cold Beer Calling My Name,Jameson Rodgers,68,23818,"['contemporary country', 'country pop']",62,2020-04-14,2020-06-10,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Redwood Tree,Cam,56,138561,"['contemporary country', 'country pop']",60,2020-05-29,2020-06-10,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Drinking Season,Brad Cox,43,6704,['australian country'],48,2020-06-05,2020-06-10,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Young Love,Austin Burke,44,10559,"['contemporary country', 'country pop']",52,2020-06-05,2020-06-10,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Every Other Memory,Ryan Hurd,63,83843,"['contemporary country', 'country pop']",65,2020-04-20,2020-06-10,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Like A Man,Dallas Smith,60,47447,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",59,2020-04-03,2020-06-10,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Beer:30,Florida Georgia Line,69,3749072,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-05-22,2020-06-10,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
On Me (feat. Ava Max),Various Artists,77,894550,[],0,2020-05-15,2020-06-10,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Hot Sauce,BRELAND,62,14108,[],64,2020-05-22,2020-06-10,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Can't Stay Here,Tucker Beathard,49,40279,"['contemporary country', 'country pop']",47,2020-05-29,2020-06-10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Me Lately,Filmore,59,23772,"['contemporary country', 'country pop']",61,2020-04-03,2020-06-10,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Champagne Night - From Songland,Lady Antebellum,66,2953191,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",74,2020-04-13,2020-06-10,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,71,777035,"['contemporary country', 'pop']",77,2020-03-20,2020-06-10,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"I Love Her, but She Don't Love Me Back",James Carothers,35,34340,['roots americana'],39,2020-06-05,2020-06-10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
The Stranger,Ingrid Andress,63,36210,"['contemporary country', 'country pop']",64,2020-03-27,2020-06-10,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Better Off,Trace Adkins,57,1524347,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",68,2020-03-20,2020-06-10,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
BOOTS,HARDY,63,36101,['contemporary country'],69,2020-05-01,2020-06-10,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Colder Than You,Canaan Smith,47,228777,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",57,2020-06-05,2020-06-10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Comeback,Noah Schnacky,63,28943,"['contemporary country', 'country pop']",60,2020-05-15,2020-06-10,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mind on Fishin',Trace Adkins,48,1524347,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",68,2020-06-05,2020-06-10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Grew Up On That,High Valley,61,95167,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",61,2020-03-13,2020-06-10,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Where I'm From,The Reklaws,62,22518,"['canadian contemporary country', 'canadian country', 'contemporary country']",58,2020-04-17,2020-06-10,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
She's Mine,Kip Moore,57,884067,"['contemporary country', 'country', 'country road', 'modern country rock']",72,2020-05-29,2020-06-10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
In The Woulds (feat. Chase Rice & Lauren Alaina),BRELAND,53,14108,[],64,2020-05-22,2020-06-10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gaslighter,Dixie Chicks,69,973841,"['contemporary country', 'country', 'country dawn']",73,2020-03-04,2020-06-10,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Good Day,Brett Eldredge,58,1117627,"['contemporary country', 'country', 'country road', 'modern country rock']",68,2020-05-22,2020-06-10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
