Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
I Called Mama,Tim McGraw,68,3165316,"['contemporary country', 'country', 'country road']",77,2020-05-08,2020-06-22,7,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
Cool Again,Kane Brown,75,2563218,"['contemporary country', 'country road']",82,2020-04-23,2020-06-22,7,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Lady,Brett Young,74,549175,['contemporary country'],77,2020-05-01,2020-06-22,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
No I in Beer,Brad Paisley,63,1777496,"['contemporary country', 'country', 'country road']",72,2020-04-15,2020-06-22,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Single Saturday Night,Cole Swindell,66,1331857,"['contemporary country', 'country', 'country road', 'modern country rock']",70,2020-05-22,2020-06-22,6,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
I Love My Country,Florida Georgia Line,63,3775425,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2020-03-27,2020-06-22,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
One Of Them Girls,Lee Brice,76,1269901,"['contemporary country', 'country', 'country road', 'modern country rock']",76,2020-04-10,2020-06-22,6,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Black Like Me,Mickey Guyton,68,28285,"['contemporary country', 'country pop']",58,2020-06-02,2020-06-22,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Almost Maybes,Jordan Davis,71,265094,['contemporary country'],74,2020-05-08,2020-06-22,5,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Hold You Tonight (with Chris Lane),Gryffin,76,535670,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",80,2020-04-07,2020-06-22,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
How They Remember You,Rascal Flatts,52,2376089,"['contemporary country', 'country', 'country road']",75,2020-06-12,2020-06-22,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
One Margarita,Luke Bryan,77,5382589,"['contemporary country', 'country', 'country road']",81,2020-03-13,2020-06-22,5,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Worldwide Beautiful,Kane Brown,70,2563218,"['contemporary country', 'country road']",82,2020-06-04,2020-06-22,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
More Than My Hometown,Morgan Wallen,79,608443,"['contemporary country', 'country road', 'deep talent show']",83,2020-04-17,2020-06-22,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Summer Time,James Barker Band,56,72930,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",58,2020-06-12,2020-06-22,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Like A Man,Dallas Smith,61,47783,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",59,2020-04-03,2020-06-22,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Champagne Night - From Songland,Lady A,66,2967005,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",75,2020-04-13,2020-06-22,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Every Other Memory,Ryan Hurd,64,85117,"['contemporary country', 'country pop']",66,2020-04-20,2020-06-22,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Whisper My Name,Aaron Watson,44,163457,"['contemporary country', 'country', 'country road', 'modern country rock', 'red dirt', 'texas country']",60,2020-06-19,2020-06-22,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Six Feet Apart,Luke Combs,77,2990531,['contemporary country'],86,2020-05-01,2020-06-22,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Be A Light,Thomas Rhett,75,3407693,"['contemporary country', 'country', 'country road', 'modern country rock']",83,2020-03-30,2020-06-22,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Me Lately,Filmore,59,24112,"['contemporary country', 'country pop']",60,2020-04-03,2020-06-22,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
If I Was a Bar,Matt Stell,51,19069,"['arkansas country', 'contemporary country', 'country pop']",65,2020-06-12,2020-06-22,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Everything Falls for You,Seaforth,58,10133,"['contemporary country', 'country pop']",62,2020-05-29,2020-06-22,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
