Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
Cool Again,Kane Brown,74,2523682.0,"['contemporary country', 'country road']",82,2020-04-23,2020-06-08,7,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
I Love My Country,Florida Georgia Line,68,3745122.0,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-03-27,2020-06-08,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
No I in Beer,Brad Paisley,62,1766399.0,"['contemporary country', 'country', 'country road']",72,2020-04-15,2020-06-08,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
One Of Them Girls,Lee Brice,76,1258758.0,"['contemporary country', 'country', 'country road', 'modern country rock']",76,2020-04-10,2020-06-08,6,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Lady,Brett Young,74,539563.0,['contemporary country'],77,2020-05-01,2020-06-08,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
More Than My Hometown,Morgan Wallen,79,580963.0,"['contemporary country', 'country road', 'deep talent show']",83,2020-04-17,2020-06-08,6,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
I Called Mama,Tim McGraw,63,3143331.0,"['contemporary country', 'country', 'country road']",77,2020-05-08,2020-06-08,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Six Feet Apart,Luke Combs,77,2911659.0,['contemporary country'],86,2020-05-01,2020-06-08,5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Worldwide Beautiful,Kane Brown,61,2523682.0,"['contemporary country', 'country road']",82,2020-06-04,2020-06-08,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Black Like Me,Mickey Guyton,63,27029.0,"['contemporary country', 'country pop']",54,2020-06-02,2020-06-08,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
