Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,61,912269,"['contemporary country', 'country', 'country dawn']",71,2020-03-04,2020-03-08,8,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1
In My Veins,Lauren Alaina,10,341685,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",73,2020-03-06,2020-03-08,7,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
One Day,Jackson Michelson,0,7138,['country pop'],53,2020-03-06,2020-03-08,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Moose Knuckle Shuffle,Hot Country Knights,1,2687,[],47,2020-03-06,2020-03-08,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Slow Down,Gone West,27,13522,"['contemporary country', 'country pop']",50,2020-03-03,2020-03-08,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Here I Am,Renee Blair,1,2228,['country pop'],30,2020-03-06,2020-03-08,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Something About You,Seth Alley,2,1853,['country pop'],41,2020-03-06,2020-03-08,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Just Let Go,Gord Bamford,0,36178,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",48,2020-03-06,2020-03-08,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sparrow,Ashley McBryde,5,58066,"['arkansas country', 'contemporary country', 'country pop']",59,2020-03-06,2020-03-08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
What Are You Gonna Tell Her?,Mickey Guyton,3,25059,"['contemporary country', 'country pop']",46,2020-03-06,2020-03-08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Talkin' About Last Night,Steven Lee Olsen,1,8921,"['canadian contemporary country', 'canadian country']",39,2020-03-06,2020-03-08,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Pawn Shop,Brandy Clark,4,34993,"['contemporary country', 'country pop']",46,2020-03-06,2020-03-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Freestylin',Stereosaga!!!,0,173,[],18,2020-03-06,2020-03-08,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Real Talk,Angie K,0,3492,[],45,2020-03-06,2020-03-08,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Hot Mess,Nice Horse,0,1377,['alberta country'],15,2020-03-06,2020-03-08,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
