Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,72,923408,"['contemporary country', 'country', 'country dawn']",71,2020-03-04,2020-03-20,11,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1
In My Veins,Lauren Alaina,61,345039,"['contemporary country', 'country', 'country dawn', 'country road']",72,2020-03-06,2020-03-20,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Grew Up On That,High Valley,47,89832,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",54,2020-03-13,2020-03-20,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,0,750732,"['contemporary country', 'pop', 'post-teen pop']",75,2020-03-20,2020-03-20,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Hometown,Logan Mize,51,53061,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",57,2020-03-13,2020-03-20,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Just Let Go,Gord Bamford,46,36456,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",47,2020-03-06,2020-03-20,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Slow Down,Gone West,50,13925,"['contemporary country', 'country pop']",50,2020-03-03,2020-03-20,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,46,7173,['country pop'],49,2020-03-06,2020-03-20,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
I Need Love,Blanco Brown,41,87615,['country rap'],67,2020-03-13,2020-03-20,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
One Margarita,Luke Bryan,62,5093716,"['contemporary country', 'country', 'country road']",78,2020-03-13,2020-03-20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Decatur County Red (feat. Jonathan Singleton),Jessi Alexander,29,1530,['country dawn'],36,2020-03-13,2020-03-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Here I Am,Renee Blair,42,2319,"['contemporary country', 'country pop']",33,2020-03-06,2020-03-20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Can't Not,Steven Lee Olsen,0,9006,"['canadian contemporary country', 'canadian country']",38,2020-03-20,2020-03-20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Freestylin',Stereosaga!!!,42,183,[],29,2020-03-06,2020-03-20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Me on You,Teddy Robb,0,3036,['country pop'],45,2020-03-20,2020-03-20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Something About You,Seth Alley,43,1886,['country pop'],40,2020-03-06,2020-03-20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
