Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_9PM,_All_Funked_Up,_Alternative_R_B,_Amplify,_Are___Be,_Arkada_Calsin,_Bedroom_Jams,_Black_Girl_Magic,_Butter,_Chill_Mode_On,_Chilled_R_B,_Fresh_Finds,_Good_Morning_Jazz,_Next_Wave_Neo_Soul,_POLLEN,_R_B_Feels,_R_B_UK,_Ready_for_the_Day,_Retro_Pop,_Silk_Sheets,_Soul_Coffee,_Soul_Lounge,_Soul_n_the_City,_Soultronic,_Spotify___Chill,_Study_Break,_Sweet_Soul_Sunday,_The_Newness,_This_Is_How_We_Do,_Your_Office_Stereo
Waiting For (feat. Jamila Woods),rum.gold,63,6946,"['alternative r&b', 'indie r&b']",52,2020-04-24,2020-06-09,6,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Got My Back,RIMON,58,42528,"['alternative r&b', 'dutch r&b', 'indie r&b', 'indie soul']",55,2020-05-14,2020-06-09,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Call Your Name,Tora,57,3220,[],46,2020-05-01,2020-06-09,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Quarantine Queen,Sinead Harnett,55,230833,"['alternative r&b', 'gauze pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",65,2020-05-22,2020-06-09,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
You're Too Precious,James Blake,68,993726,"['art pop', 'indie r&b', 'indie soul', 'indietronica', 'uk alternative pop']",74,2020-04-24,2020-06-09,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
More Than Enough,Alina Baraz,67,684082,"['alternative r&b', 'electropop', 'etherpop', 'pop']",76,2020-03-26,2020-06-09,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anyone But Me,Joy Crookes,60,117015,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",60,2020-04-08,2020-06-09,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Wrong Places (from Songland),H.E.R.,71,2545692,['pop'],82,2020-04-27,2020-06-09,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temperature Rising,Tory Lanez,79,2974295,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",88,2020-05-15,2020-06-09,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Be the One - Remix,Sinead Harnett,57,230833,"['alternative r&b', 'gauze pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",65,2020-03-20,2020-06-09,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Morning,RIMON,50,42528,"['alternative r&b', 'dutch r&b', 'indie r&b', 'indie soul']",55,2020-03-19,2020-06-09,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Need You,Emanuel,60,1406,[],47,2020-04-06,2020-06-09,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Black Dog,Arlo Parks,66,67179,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b', 'vapor soul']",64,2020-05-04,2020-06-09,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Everybody Business,Kehlani,62,3545418,"['pop', 'pop rap', 'post-teen pop', 'r&b']",85,2020-04-16,2020-06-09,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F&MU,Kehlani,63,3545418,"['pop', 'pop rap', 'post-teen pop', 'r&b']",85,2020-04-30,2020-06-09,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Heavenly Mother,Pip Millett,56,46703,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",58,2020-04-10,2020-06-09,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
June,Pip Millett,53,46703,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",58,2020-03-13,2020-06-09,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Can't Fight,Lianne La Havas,62,554213,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",67,2020-05-18,2020-06-09,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Paper Thin,Lianne La Havas,65,554213,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",67,2020-05-04,2020-06-09,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Distance,Yebba,63,102709,[],69,2020-05-08,2020-06-09,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Sun Is Up Forever,Joesef,58,12068,"['indie soul', 'uk alternative pop']",53,2020-04-23,2020-06-09,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Dive,Victoria Monét,61,164528,"['alternative r&b', 'deep pop r&b', 'indie r&b']",65,2020-04-21,2020-06-09,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
BRB,Mahalia,61,393702,"['alternative r&b', 'indie anthem-folk', 'indie r&b', 'indie soul', 'pop', 'uk contemporary r&b']",72,2020-05-01,2020-06-09,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
Nightrider,Tom Misch,65,668496,['indie soul'],76,2020-04-16,2020-06-09,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fair Chance,Thundercat,56,508003,"['afrofuturism', 'hip hop', 'indie soul']",71,2020-03-17,2020-06-09,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
All I Need (with Mahalia & Ty Dolla $ign),Jacob Collier,68,248691,"['indie soul', 'uk alternative pop']",64,2020-05-14,2020-06-09,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Change For Me (With Samm Henshaw),Brasstracks,54,64533,['nyc pop'],56,2020-05-13,2020-06-09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Comeback (feat. Tory Lanez and 30 Roc),JoJo,63,1587159,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",70,2020-05-01,2020-06-09,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Do It,Chloe x Halle,74,407572,"['alternative r&b', 'deep pop r&b', 'escape room', 'hip pop', 'indie r&b', 'pop', 'pop rap', 'r&b']",65,2020-05-14,2020-06-09,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
blue,Kamal.,58,4783,[],51,2020-05-20,2020-06-09,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Out Of My Way,RIMON,56,42528,"['alternative r&b', 'dutch r&b', 'indie r&b', 'indie soul']",55,2020-04-16,2020-06-09,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want war (BUT I NEED PEACE),Kali Uchis,66,947902,"['colombian pop', 'pop']",78,2020-04-24,2020-06-09,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
