Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
I Love My Country,Florida Georgia Line,74,3659379,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-03-27,2020-05-01,9,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
Be A Light,Thomas Rhett,74,3311841,"['contemporary country', 'country', 'country road', 'modern country rock']",80,2020-03-30,2020-05-01,6,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2016,Sam Hunt,74,1772263,"['contemporary country', 'country pop']",80,2020-04-03,2020-05-01,6,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
The Stranger,Ingrid Andress,65,31670,"['contemporary country', 'country pop']",67,2020-03-27,2020-05-01,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Cold Beer Calling My Name,Jameson Rodgers,70,22553,"['contemporary country', 'country pop']",62,2020-04-14,2020-05-01,5,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Cool Again,Kane Brown,71,2414168,"['contemporary country', 'country road']",81,2020-04-23,2020-05-01,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Hometown,Logan Mize,59,54491,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",60,2020-03-13,2020-05-01,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gaslighter,Dixie Chicks,75,946535,"['contemporary country', 'country', 'country dawn']",73,2020-03-04,2020-05-01,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Last Time I Say Sorry,Kane Brown,76,2414168,"['contemporary country', 'country road']",81,2020-03-27,2020-05-01,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Hold You Tonight (with Chris Lane),Gryffin,75,487296,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",79,2020-04-07,2020-05-01,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Champagne Night - From Songland,Lady Antebellum,66,2894298,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",75,2020-04-13,2020-05-01,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Better Off,Trace Adkins,60,1471303,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",67,2020-03-20,2020-05-01,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
My Truck (feat. Sam Hunt) - Remix,BRELAND,59,9705,[],65,2020-04-24,2020-05-01,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Like A Man,Dallas Smith,58,46129,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",60,2020-04-03,2020-05-01,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
More Than My Hometown,Morgan Wallen,76,510653,"['contemporary country', 'country road', 'deep talent show']",82,2020-04-17,2020-05-01,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Round and Round,Troy Cartwright,50,5925,"['country pop', 'texas country']",53,2020-04-10,2020-05-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
I Love You Now Change,Twinnie,48,2929,['country pop'],43,2020-03-20,2020-05-01,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
the other girl (with Halsey) [the other mix],Kelsea Ballerini,68,764975,"['contemporary country', 'pop', 'post-teen pop']",78,2020-04-20,2020-05-01,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,75,764975,"['contemporary country', 'pop', 'post-teen pop']",78,2020-03-20,2020-05-01,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gabrielle,Brett Eldredge,63,1094144,"['contemporary country', 'country', 'country road', 'modern country rock']",68,2020-04-17,2020-05-01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lady,Brett Young,0,513826,['contemporary country'],76,2020-05-01,2020-05-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
No I in Beer,Brad Paisley,62,1731195,"['contemporary country', 'country', 'country road']",71,2020-04-15,2020-05-01,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Me Lately,Filmore,58,22809,"['contemporary country', 'country pop']",63,2020-04-03,2020-05-01,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Where I'm From,The Reklaws,56,20535,"['canadian contemporary country', 'canadian country', 'contemporary country']",57,2020-04-17,2020-05-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Every Other Memory,Ryan Hurd,57,79521,"['contemporary country', 'country pop']",65,2020-04-20,2020-05-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
One Of Them Girls,Lee Brice,68,1226721,"['contemporary country', 'country', 'country road', 'modern country rock']",75,2020-04-10,2020-05-01,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Grew Up On That,High Valley,60,91884,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",58,2020-03-13,2020-05-01,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I Need Love,Blanco Brown,55,94823,['country rap'],71,2020-03-13,2020-05-01,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Think About You,Alana Springsteen,56,2808,"['contemporary country', 'country pop']",52,2020-03-20,2020-05-01,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
River's Still Running,High Valley,48,91884,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",58,2020-04-17,2020-05-01,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Slow Down,Gone West,56,15932,"['contemporary country', 'country pop']",52,2020-03-03,2020-05-01,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
