Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,71,920221,"['contemporary country', 'country', 'country dawn']",71,2020-03-04,2020-03-16,11,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1
In My Veins,Lauren Alaina,61,343984,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",72,2020-03-06,2020-03-16,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Hometown,Logan Mize,46,52868,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",57,2020-03-13,2020-03-16,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,43,7164,['country pop'],50,2020-03-06,2020-03-16,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Grew Up On That,High Valley,41,89575,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",54,2020-03-13,2020-03-16,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Slow Down,Gone West,49,13818,"['contemporary country', 'country pop']",49,2020-03-03,2020-03-16,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
What Are You Gonna Tell Her?,Mickey Guyton,52,25310,"['contemporary country', 'country pop']",47,2020-03-06,2020-03-16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Moose Knuckle Shuffle,Hot Country Knights,45,3143,[],46,2020-03-06,2020-03-16,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Just Let Go,Gord Bamford,44,36383,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",47,2020-03-06,2020-03-16,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Here I Am,Renee Blair,39,2280,"['contemporary country', 'country pop']",32,2020-03-06,2020-03-16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Something About You,Seth Alley,41,1873,['country pop'],40,2020-03-06,2020-03-16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
One Margarita,Luke Bryan,58,5080230,"['contemporary country', 'country', 'country road']",78,2020-03-13,2020-03-16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Light On,Kaylee Bell,25,4993,"['australian country', 'contemporary country', 'country pop']",41,2020-03-13,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ain't Lookin' Back,Mo Pitney,27,18806,[],39,2020-03-13,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Empty Glass,Holly Tucker,23,1539,['deep talent show'],31,2020-03-13,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Half a Mind to Go Crazy,Tyler Booth,27,3119,[],40,2020-03-13,2020-03-16,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Real Talk,Angie K,40,3569,[],44,2020-03-06,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sparrow,Ashley McBryde,44,58968,"['arkansas country', 'contemporary country', 'country pop']",58,2020-03-06,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
I Need Love,Blanco Brown,34,86988,['country rap'],67,2020-03-13,2020-03-16,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pawn Shop,Brandy Clark,46,35752,"['contemporary country', 'country pop']",48,2020-03-06,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Freestylin',Stereosaga!!!,40,178,[],28,2020-03-06,2020-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Like That,Matthew McSwain,29,349,[],22,2020-03-06,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Run Away,Presley Phillips,27,436,[],26,2020-03-04,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kill the Bottle,Tom O'Connor,31,1939,[],31,2020-03-06,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hot Mess,Nice Horse,26,1392,['alberta country'],18,2020-03-06,2020-03-16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I Got This,The McClymonts,36,20561,"['australian country', 'australian pop', 'country dawn']",39,2020-03-13,2020-03-16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Catch a Buzz,Taylor Ray Holbrook,38,92462,"['contemporary country', 'redneck']",59,2020-03-06,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Family Pain,Swamp Dogg,34,15173,"['soul', 'southern soul']",47,2020-03-06,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cool,Rachel Reinert,20,577,[],23,2020-03-13,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Get My Shit Together,Summer Overstreet,15,118,[],33,2020-03-13,2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
